resp_id,wave,adopts_mm,has_account,made_digital_payment,income_quintile,education,age,female,urban,owns_mobile,has_internet,employed,borrowed_formal,saved_formal
191902703,2021,1,1,1,5,3.0,34.0,0,0,1,1,1,0,1
143682454,2021,1,1,1,3,2.0,52.0,0,1,1,1,1,0,0
140671614,2021,0,1,1,3,2.0,15.0,1,1,1,1,1,1,0
191621240,2021,0,1,1,4,2.0,19.0,1,1,1,1,1,0,0
141873417,2021,0,1,1,3,2.0,29.0,1,0,1,1,0,0,0
114633359,2021,0,0,0,4,2.0,33.0,0,1,0,1,1,0,0
197208835,2021,1,1,1,4,2.0,28.0,0,0,1,1,1,0,1
146875274,2021,0,0,0,2,2.0,67.0,0,1,1,1,0,0,0
120588024,2021,0,0,0,1,1.0,36.0,0,1,1,1,1,1,0
208075448,2021,0,0,0,5,2.0,29.0,1,0,1,1,1,0,0
128349755,2021,0,0,0,1,1.0,65.0,1,0,1,1,1,0,0
145440885,2021,1,1,1,2,2.0,22.0,1,0,1,1,0,0,1
122073285,2021,0,0,0,3,1.0,30.0,1,1,0,1,1,0,0
185372939,2021,1,1,1,5,2.0,33.0,0,0,1,1,1,0,1
186815519,2021,0,0,0,3,2.0,16.0,1,0,1,1,0,0,0
153857905,2021,1,1,1,3,2.0,30.0,1,0,1,1,1,0,0
137922844,2021,1,1,1,3,2.0,36.0,0,0,1,1,1,0,0
137233831,2021,0,0,0,3,2.0,19.0,1,0,0,1,1,0,0
143815115,2021,1,1,1,5,3.0,43.0,0,0,1,1,1,0,1
183837298,2021,1,1,1,3,1.0,29.0,1,0,1,1,0,0,0
209586481,2021,1,1,1,3,2.0,35.0,0,0,1,1,1,0,0
117922957,2021,1,1,1,5,2.0,35.0,1,0,1,1,1,0,1
145390979,2021,1,1,1,2,1.0,30.0,1,1,1,1,1,1,1
129332512,2021,1,1,1,5,2.0,30.0,1,0,1,1,1,0,0
185915187,2021,0,0,0,1,1.0,22.0,1,1,0,1,0,0,0
122408098,2021,0,1,1,4,2.0,86.0,0,0,1,1,0,0,1
188558076,2021,1,1,1,4,2.0,18.0,0,0,1,1,1,0,1
117018414,2021,0,0,0,2,1.0,15.0,1,0,0,1,0,0,0
147436167,2021,0,0,0,4,1.0,45.0,0,1,1,1,1,0,0
122801338,2021,1,1,1,3,2.0,25.0,0,1,1,1,1,0,0
173598645,2021,1,1,1,5,2.0,28.0,1,0,1,1,1,0,1
160500984,2021,1,1,1,3,2.0,18.0,1,0,1,1,0,0,0
137301597,2021,0,0,0,3,2.0,18.0,1,0,1,1,0,0,0
122090863,2021,1,1,1,5,2.0,46.0,0,0,1,1,1,1,1
145523493,2021,1,1,1,1,1.0,35.0,0,1,1,1,1,0,0
164956376,2021,0,0,0,2,1.0,30.0,0,1,1,1,1,0,0
133160397,2021,1,1,1,1,2.0,24.0,0,0,1,1,0,0,0
135095310,2021,0,0,0,3,2.0,32.0,1,1,1,1,1,0,0
152591546,2021,1,1,1,4,1.0,48.0,1,1,1,1,1,0,0
120994846,2021,1,1,1,4,2.0,19.0,0,0,1,1,0,0,0
193405401,2021,1,1,1,3,2.0,36.0,1,0,1,1,1,0,0
177162053,2021,1,1,1,4,2.0,23.0,1,1,1,1,0,0,1
205994235,2021,0,0,0,1,2.0,19.0,0,0,0,1,0,0,0
173010153,2021,1,1,1,1,2.0,17.0,0,0,1,1,1,0,0
171620673,2021,1,1,1,3,2.0,27.0,0,0,1,1,1,0,1
115117286,2021,1,1,1,5,2.0,30.0,0,0,1,1,1,0,1
210653056,2021,1,1,1,5,2.0,32.0,0,1,1,1,1,0,1
179607518,2021,1,1,1,5,2.0,28.0,0,0,1,1,1,0,1
132597550,2021,0,0,0,2,2.0,46.0,1,1,1,1,1,0,1
177858322,2021,0,1,0,3,1.0,30.0,0,1,1,1,1,1,0
162196598,2021,0,0,0,2,1.0,19.0,0,0,1,1,1,0,0
166106733,2021,0,0,0,3,1.0,42.0,1,0,0,1,1,0,0
157178489,2021,1,1,1,3,1.0,38.0,1,0,1,1,1,0,0
176987732,2021,0,0,0,4,1.0,27.0,1,1,1,1,1,0,0
161567320,2021,1,1,1,4,1.0,25.0,1,0,1,1,1,1,0
122913485,2021,1,1,1,3,2.0,50.0,1,1,1,1,1,1,0
151723306,2021,1,1,1,2,2.0,37.0,0,0,1,1,1,0,0
203811467,2021,1,1,1,3,2.0,40.0,1,0,1,1,1,0,0
150472105,2021,1,1,1,4,3.0,38.0,0,0,1,1,1,0,1
171142194,2021,1,1,1,3,1.0,24.0,0,0,1,1,1,0,1
206286634,2021,1,1,1,2,2.0,35.0,0,0,1,1,1,0,1
148164580,2021,0,0,0,1,2.0,20.0,1,0,1,1,0,0,0
154151163,2021,1,1,1,4,2.0,67.0,0,0,1,1,1,0,1
114461108,2021,1,1,1,3,2.0,18.0,1,0,1,1,0,0,0
152405056,2021,0,1,0,3,2.0,60.0,1,0,1,1,1,0,0
188919782,2021,1,1,1,5,2.0,21.0,0,1,1,1,1,0,0
181901674,2021,1,1,1,5,2.0,34.0,0,0,1,1,1,0,1
184094636,2021,1,1,1,2,2.0,23.0,0,1,1,1,1,0,0
177203251,2021,0,0,0,1,1.0,24.0,1,0,0,1,0,0,1
202792012,2021,0,0,0,1,1.0,25.0,0,1,1,1,0,0,0
188553266,2021,1,1,1,3,3.0,28.0,0,0,1,1,0,0,0
160031687,2021,1,1,1,5,2.0,38.0,1,0,1,1,1,0,1
202908503,2021,1,1,1,5,3.0,48.0,0,1,1,1,1,1,0
154810387,2021,0,0,0,1,2.0,20.0,1,1,1,1,0,0,0
142553831,2021,0,1,1,4,2.0,20.0,1,0,1,1,1,0,1
208293315,2021,1,1,1,3,2.0,17.0,1,0,1,1,1,0,0
192598909,2021,1,1,1,3,2.0,41.0,1,0,1,1,1,1,1
172337868,2021,1,1,1,1,2.0,28.0,1,0,1,1,1,0,0
142970418,2021,1,1,1,3,1.0,45.0,0,0,1,1,1,0,0
166913633,2021,1,1,1,4,3.0,31.0,1,1,1,1,1,0,1
166756002,2021,1,1,1,5,2.0,30.0,1,0,1,1,1,0,1
145744492,2021,0,0,0,3,1.0,26.0,1,0,1,1,0,0,0
171619335,2021,1,1,1,4,2.0,23.0,1,0,1,1,1,0,0
125243667,2021,1,1,1,3,3.0,24.0,0,1,1,1,1,0,0
166250650,2021,0,0,0,1,2.0,43.0,0,1,1,1,1,0,0
131426103,2021,1,1,1,4,2.0,20.0,0,0,1,1,1,0,1
199907296,2021,0,0,0,2,2.0,28.0,1,1,1,1,1,0,0
164600348,2021,0,0,0,1,1.0,55.0,1,1,1,1,0,0,0
203487822,2021,1,1,1,5,2.0,32.0,0,0,1,1,1,0,1
139819519,2021,1,1,1,2,2.0,21.0,1,0,1,1,1,0,0
129142606,2021,1,1,1,3,2.0,37.0,0,1,1,1,1,0,0
194327294,2021,1,1,1,5,2.0,29.0,0,0,1,1,1,0,1
183407796,2021,0,0,0,3,1.0,39.0,1,0,1,1,1,0,0
165874332,2021,1,1,1,4,1.0,40.0,1,0,1,1,1,0,0
116539403,2021,0,0,0,4,1.0,21.0,0,1,0,1,1,0,0
147435418,2021,1,1,1,1,2.0,18.0,0,0,1,1,0,0,0
150302384,2021,1,1,1,2,3.0,49.0,0,0,1,1,1,0,0
156209784,2021,1,1,1,2,1.0,75.0,1,0,1,1,1,0,1
197805150,2021,1,1,1,2,1.0,53.0,0,0,1,1,1,0,1
138670639,2021,1,1,1,2,2.0,26.0,0,0,1,1,1,0,0
151653501,2021,1,1,1,4,2.0,21.0,0,0,1,1,1,0,0
126520418,2021,1,1,1,5,2.0,69.0,0,0,1,1,1,0,0
193072944,2021,0,0,0,1,1.0,15.0,0,1,1,1,0,0,0
162398739,2021,1,1,1,4,2.0,45.0,0,0,1,1,1,0,1
119606216,2021,1,1,1,4,3.0,27.0,1,0,1,1,1,0,1
168104414,2021,1,1,1,4,2.0,29.0,0,0,1,1,1,0,1
133875626,2021,0,0,0,4,1.0,30.0,1,0,1,1,0,0,0
131436613,2021,1,1,1,5,2.0,35.0,0,1,1,1,1,0,0
165212039,2021,0,0,0,1,2.0,61.0,1,0,1,1,1,0,0
207672612,2021,0,0,0,5,2.0,27.0,0,1,1,1,1,0,0
193285769,2021,1,1,1,3,2.0,29.0,0,0,1,1,1,1,0
181537056,2021,1,1,1,3,2.0,40.0,0,0,1,1,1,0,1
163472242,2021,1,1,1,5,3.0,31.0,0,0,1,1,1,1,1
207156545,2021,1,1,1,5,3.0,27.0,1,0,1,1,0,0,1
124840611,2021,1,1,1,2,2.0,46.0,1,0,1,1,1,0,0
147241086,2021,1,1,1,3,2.0,21.0,0,1,1,1,1,0,0
167582359,2021,1,1,1,5,2.0,26.0,0,0,1,1,1,0,0
160327745,2021,0,0,0,5,2.0,35.0,1,1,0,1,1,0,0
142985363,2021,1,1,1,2,1.0,38.0,0,1,1,1,1,0,0
160493085,2021,0,0,0,1,1.0,64.0,1,0,0,1,0,0,0
119196079,2021,1,1,1,2,2.0,46.0,1,1,0,1,1,0,0
147687149,2021,0,0,0,1,1.0,22.0,0,1,0,1,0,0,0
191839380,2021,1,1,1,5,2.0,27.0,0,0,1,1,1,1,0
148632048,2021,0,0,0,4,2.0,18.0,1,0,1,1,0,0,0
112589299,2021,0,0,0,4,2.0,67.0,1,0,1,1,1,0,0
158015633,2021,0,0,0,1,1.0,20.0,1,1,0,1,1,0,0
139013500,2021,1,1,1,2,1.0,32.0,1,1,1,1,1,0,0
154162637,2021,1,1,1,5,2.0,45.0,0,0,1,1,1,0,1
202402610,2021,1,1,1,4,2.0,26.0,1,0,1,1,1,0,1
195716935,2021,1,1,1,4,2.0,25.0,1,0,1,1,1,0,0
176063332,2021,1,1,1,4,2.0,32.0,1,0,1,1,1,0,0
169003031,2021,1,1,1,4,2.0,22.0,0,0,1,1,1,0,0
199016351,2021,0,1,1,2,1.0,45.0,0,1,1,1,1,0,0
191072680,2021,1,1,1,1,2.0,32.0,0,0,1,1,1,0,1
175759228,2021,1,1,1,4,2.0,28.0,1,0,1,1,1,0,0
165311256,2021,1,1,1,3,2.0,21.0,0,1,1,1,0,0,0
171119681,2021,0,0,0,1,2.0,18.0,1,0,1,1,1,0,0
132110818,2021,0,0,0,3,1.0,37.0,1,0,0,1,0,0,0
182726829,2021,1,1,1,5,2.0,26.0,0,1,1,1,1,0,1
202013582,2021,1,1,1,4,2.0,37.0,0,1,1,1,1,0,1
154627895,2021,1,1,1,5,1.0,26.0,1,1,1,1,1,0,0
198368986,2021,0,0,0,1,1.0,30.0,1,1,1,1,1,0,0
205805187,2021,0,0,0,5,1.0,15.0,1,0,0,1,0,0,0
112369441,2021,1,1,1,3,2.0,24.0,0,1,1,1,1,0,0
144750680,2021,0,0,0,2,1.0,56.0,0,1,0,1,1,0,0
193650233,2021,1,1,1,5,2.0,53.0,0,0,1,1,1,0,1
154605630,2021,1,1,1,5,1.0,30.0,1,1,1,1,1,0,0
165729856,2021,1,1,1,5,1.0,23.0,0,0,1,1,1,0,0
113862567,2021,0,0,0,5,1.0,39.0,1,1,0,1,0,0,0
193813346,2021,0,0,0,3,1.0,16.0,1,0,0,1,0,0,0
154812267,2021,1,1,1,4,2.0,30.0,0,0,1,1,1,0,0
114207793,2021,0,0,0,1,1.0,30.0,1,1,0,1,0,0,0
113945631,2021,1,1,1,3,2.0,42.0,0,1,1,1,1,0,0
164487208,2021,0,0,0,1,2.0,17.0,1,0,1,1,0,0,0
118635672,2021,1,1,1,2,2.0,45.0,0,0,1,1,1,1,0
158537425,2021,1,1,1,4,2.0,30.0,0,0,1,1,0,0,0
206375249,2021,1,1,1,5,2.0,18.0,1,0,1,1,0,0,1
194422907,2021,0,1,0,4,2.0,43.0,0,0,1,1,1,0,1
118084774,2021,1,1,1,5,1.0,39.0,0,1,1,1,1,0,0
172232892,2021,1,1,1,4,2.0,33.0,0,0,1,1,1,0,1
118049331,2021,1,1,1,1,1.0,23.0,0,0,1,1,1,0,0
136210745,2021,0,0,0,4,1.0,57.0,0,0,1,1,1,0,0
132003244,2021,1,1,1,4,1.0,50.0,1,1,1,1,1,0,0
112707784,2021,1,1,1,2,2.0,38.0,0,0,1,1,1,0,1
125741155,2021,0,0,0,3,2.0,17.0,0,1,0,1,0,0,0
169938271,2021,1,1,1,4,2.0,54.0,0,0,1,1,1,0,1
143686424,2021,1,1,1,5,1.0,21.0,1,0,1,1,1,0,0
196424905,2021,0,0,0,4,2.0,21.0,1,0,1,1,1,0,0
205811643,2021,1,1,1,4,2.0,30.0,0,0,1,1,1,0,1
178645433,2021,1,1,1,5,2.0,35.0,0,0,1,1,0,0,1
129489052,2021,1,1,1,5,2.0,30.0,1,0,1,1,1,0,1
160272213,2021,1,1,1,5,2.0,30.0,0,0,1,1,1,0,1
122644137,2021,1,1,1,4,3.0,24.0,1,0,1,1,1,1,1
156415797,2021,1,1,1,5,3.0,51.0,0,0,1,1,1,1,1
150028333,2021,1,1,1,5,1.0,26.0,1,0,1,1,1,0,0
115529457,2021,1,1,1,4,2.0,20.0,0,0,1,1,0,0,1
154677585,2021,0,1,1,5,2.0,34.0,0,0,1,1,1,0,1
206374600,2021,1,1,1,5,1.0,23.0,1,0,1,1,1,0,0
203484511,2021,0,0,0,5,1.0,17.0,0,0,1,1,1,0,0
199252570,2021,0,0,0,3,2.0,26.0,1,1,0,1,1,0,0
112254005,2021,1,1,1,1,2.0,19.0,0,0,1,1,1,0,0
117396944,2021,1,1,1,2,1.0,29.0,1,1,1,1,1,0,0
207996990,2021,1,1,1,1,1.0,19.0,1,1,1,1,1,0,0
112830329,2021,1,1,1,5,3.0,45.0,0,0,1,1,1,1,1
125487556,2021,1,1,1,4,2.0,27.0,1,0,1,1,1,0,0
181395976,2021,1,1,1,5,3.0,37.0,1,0,1,1,1,1,1
207333032,2021,1,1,1,2,2.0,25.0,0,0,1,1,0,0,0
153898498,2021,0,1,1,5,2.0,36.0,1,0,1,1,1,1,1
146124230,2021,1,1,1,3,2.0,28.0,1,0,1,1,1,0,0
133863141,2021,1,1,1,5,2.0,30.0,0,1,1,1,1,0,1
145251393,2021,1,1,1,1,2.0,22.0,1,0,1,1,0,0,0
166156422,2021,0,0,0,1,1.0,40.0,1,0,1,1,0,0,0
205442550,2021,1,1,1,1,2.0,31.0,1,1,1,1,0,0,0
