date,mm_value,mm_volume,mm_active_accts,mm_registered_accts,mm_agents_active,agent_density,mobile_pen,internet_pen,account_ownership,inflation,policy_rate,exch_rate,gdp_proxy,elevy,mm_value_lag1_to_lag12,mm_value_roll3_roll6,mm_value_yoy,mm_active_accts_lag1_to_lag12,month,t_index,mm_value_lag1,mm_active_accts_lag1,mm_value_lag2,mm_active_accts_lag2,mm_value_lag3,mm_active_accts_lag3,mm_value_lag4,mm_active_accts_lag4,mm_value_lag5,mm_active_accts_lag5,mm_value_lag6,mm_active_accts_lag6,mm_value_lag7,mm_active_accts_lag7,mm_value_lag8,mm_active_accts_lag8,mm_value_lag9,mm_active_accts_lag9,mm_value_lag10,mm_active_accts_lag10,mm_value_lag11,mm_active_accts_lag11,mm_value_lag12,mm_active_accts_lag12,mm_value_roll3,mm_value_roll6
2019-01-01,22018.26517,142535312.0,13200069,32956150,189007,1037.1064779783608,139.74,91.08,61.667947183806554,5.73,16.0,4.9506,627.14,0,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-01,20918.5758,137921555.3,12946960,33423328,182642,1000.0927801089912,139.34,89.0,61.891012837212706,5.93,16.0,5.1752,601.91,0,,,,,2,2,22018.26517,13200069.0,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-01,23419.56841,156266620.0,12725649,29578169,182344,996.5855269629732,140.3,90.37,62.09249149190214,6.36,16.0,5.0834,617.5,0,,,,,3,3,20918.5758,12946960.0,22018.26517,13200069.0,,,,,,,,,,,,,,,,,,,,,22118.803126666666,
2019-04-01,23648.73362,158466250.0,12720195,30060385,240752,1313.078720120398,139.21,88.97,62.3155571453083,6.32,16.0,5.0881,610.55,0,,,,,4,4,23419.56841,12725649.0,20918.5758,12946960.0,22018.26517,13200069.0,,,,,,,,,,,,,,,,,,,22662.29261,
2019-05-01,25596.59411,163181432.0,12824090,30620668,200280,1090.152083235025,138.37,88.85,62.53142713247554,6.91,16.0,5.2011,633.86,0,,,,,5,5,23648.73362,12720195.0,23419.56841,12725649.0,20918.5758,12946960.0,22018.26517,13200069.0,,,,,,,,,,,,,,,,,24221.632046666666,
2019-06-01,24578.90983,157423905.0,12918730,31536680,180448,980.1736287165672,137.82,90.34,62.7544927858817,7.31,16.0,5.259,607.95,0,,,,,6,6,25596.59411,12824090.0,23648.73362,12720195.0,23419.56841,12725649.0,20918.5758,12946960.0,22018.26517,13200069.0,,,,,,,,,,,,,,,24608.079186666666,23363.441156666668
2019-07-01,26440.27262,171882993.0,13502413,32504699,271604,1472.3778981117573,137.48,87.25,62.97036277304895,7.17,16.0,5.257,624.72,0,,,,,7,7,24578.90983,12918730.0,25596.59411,12824090.0,23648.73362,12720195.0,23419.56841,12725649.0,20918.5758,12946960.0,22018.26517,13200069.0,,,,,,,,,,,,,25538.592186666665,24100.44239833333
2019-08-01,26108.60912,174944065.0,14137988,33387459,198578,1074.2068914109598,135.66,87.7,63.19342842645511,7.43,16.0,5.2814,620.47,0,,,,,8,8,26440.27262,13502413.0,24578.90983,12918730.0,25596.59411,12824090.0,23648.73362,12720195.0,23419.56841,12725649.0,20918.5758,12946960.0,22018.26517,13200069.0,,,,,,,,,,,25709.26385666667,24965.447951666665
2019-09-01,26434.62932,169169269.0,13620118,31549725,200863,1084.2573932948235,134.82,85.72,63.416494079861266,7.38,16.0,5.3161,616.01,0,,,,,9,9,26108.60912,14137988.0,26440.27262,13502413.0,24578.90983,12918730.0,25596.59411,12824090.0,23648.73362,12720195.0,23419.56841,12725649.0,20918.5758,12946960.0,22018.26517,13200069.0,,,,,,,,,26327.837019999995,25467.958103333334
2019-10-01,28351.33649,187700732.0,14022267,31278836,221777,1194.692904901061,133.31,84.61,63.63236406702851,7.58,16.0,5.3372,648.29,0,,,,,10,10,26434.62932,13620118.0,26108.60912,14137988.0,26440.27262,13502413.0,24578.90983,12918730.0,25596.59411,12824090.0,23648.73362,12720195.0,23419.56841,12725649.0,20918.5758,12946960.0,22018.26517,13200069.0,,,,,,,26964.85831,26251.725248333332
