Mnemonic,Parent Mnemonic,Databank,Data Family,Data Source,Units of Measure,First Observation,Frequency,Name of Series,Sept-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sept-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sept-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sept-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sept-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sept-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sept-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sept-25,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26,Apr-26,May-26
GHA_PSI_2,GHA_PSI_1,INR,Payment System Data,Bank of Ghana,Number,Sept-18,M,Registered mobile money  accounts (cumulative),31431518,32527674,31682272,32554346,32956150,33423328,29578169,30060385,30620668,31536680,32504699,33387459,31549725,31278836,31959734,32470793,32563600,32712084,34312682,34919696,33242664,33149397,33739528,34510405,35871780,36893962,37700784,38473734,39954622,40882122,41868621,42055517,43211297,44321060,44976534,45969026,46912332,47289819,47706429,48308975,48424110,49220981,49926289,50240585,50661806,51048941,51593562,52394275,53280199,53788806,54457343,55288500,56052944,56679032,57372364,57606106,58700627,59717350,61131766,62324287,63157068,64049632,64945361,65579075,66298745,66889016,67614815,68226126,68711981,69264141,69895350,70527500,71161165,71895713,72460537,72981689,73548066,74064456,74596460,75192916,75798853,76409472,77050922,77706433,78418548,79145806,79806887,80492591,81205587,81865216,82554503,83282244,83901291
GHA_PSI_7,GHA_PSI_1,INR,Payment System Data,Bank of Ghana,GHC million,Sept-18,M,Total value of transactions,18134.87503,20026.01954,20628.43,22630.93512,22018.26517,20918.5758,23419.56841,23648.73362,25596.59411,24578.90983,26440.27262,26108.60912,26434.62932,28351.33649,29014.33816,32822.42231,30200.93164,30102.19162,33769.50265,32832.76144,41498.7692,45328.30215,52487.61544,56044.52,58798.34,58034.77,57325.88,67732.32,67077.65,67900.73,82261.56,83815.99,86545.65,89127.84,99125.36,81829.09,71693.51,80030.23,86063.03,82853.14,76177.4,76812.54,90463.15,87657.05,71431.97,77376.33,77154.55,87077.99,88812.71,100227.48,116958.87,122006.96,130055.49,133967.91,147549.19,138830.26,159729.48,149401.94,169637.7,161811.6907,156954.46,179187.74,185871.34,199339.08,198362.0108,195763.9079,181899.382,202952.85,234313.9,224008.2,264853.42,273580.7,284902.29,298567.3,316350.5,334842.81,333044.11,316233.26,351729.83,364981,360046.5,323162.2,355388.7,354097.14,406903.9,434728.9,420113,518397.05,446242.15,446578.96,484559.93,517308.14,493992
GHA_PSI_5,GHA_PSI_1,INR,Payment System Data,Bank of Ghana,Number,Sept-18,M,Active Agents,190265,225005,181501,180664,189007,182642,182344,240752,200280,180448,271604,198578,200863,221777,218109,226298,238068,234940,238732,254072,250368,263260,284805,280359,306259,316440,322199,328329,351330,356147,374704,386093,392804,402730,413563,425369,426706,441385,439131,442375,431603,445857,457608,453595,461753,462439,440519,471625,477125,489336,494455,505122,492455,508461,520684,527090,560574,571114,567850,555985,582114,543612,593206,608856,607823,615596,617158,612099,566715,551251,542534,523352,455928,404473,412436,404371,404953,411462,410605,414128,423978,422771,445608,433261,435052,453151,478958,491057,498845,513849,524314,537716,540788
GHA_PSI_3,GHA_PSI_1,INR,Payment System Data,Bank of Ghana,Number,Sept-18,M,Active mobile money  accounts,12594427,12674800,12954855,13056978,13200069,12946960,12725649,12720195,12824090,12918730,13502413,14137988,13620118,14022267,14227833,14459352,14130350,14651835,14838522,14510314,15018932,15478291,15708294,15946966,16329462,16856212,17004311,17142677,17349032,17529852,17811466,17232043,18026787,18303250,17271354,19066260,19433002,18434784,17982106,17948480,17359135,18534816,18881454,18602773,19102061,18839254,18205485,19526216,19946319,20196738,20223950,20380716,20551466,20452823,20652904,21055774,21834777,22148769,22017460,21623926,21949535,22131902,22445663,22793296,22938255,23137459,23382208,23913899,24071046,24388764,22630209,22835643,23031068,23318355,23479305,23486648,23567350,23597472,23912493,24221454,24271128,24459590,24438572,25077661,25039113,25257910,25535565,26657242,26915257,26504882,25833139,26082606,25963561
GHA_PSI_8,GHA_PSI_1,INR,Payment System Data,Bank of Ghana,GHC million,Sept-18,M,Balance on Float  (GHC million),2240.282834,2343.290359,2363.54,2633.925289,2583.878416,2675.055736,2729.705224,2921.775208,2971.225036,3032.373221,3062.998858,3134.48839,3166.536433,3111.775512,3399.999249,3633.832947,3682.142963,3598.053374,3910.173376,4114.003683,4572.085105,4842.543216,5242.506831,5455.36,5586.02,6045.07,6504.56,6980.03,7048.17,7236.28,7481.83,7496.63,7823.85,7961.18,8445.93,8755.64,8762.6,8431.34,8905.13,9744.38,9398.23,9424.27,9479.9,9577.8,9164.59,9314.76,9289.94,9122.92,9799.37,10346.38,10933.55,13071.43,12820.12,12732.72,12806.64,13194.4,12821.48,14354.14,13723.16,13806.63,13687.24435,15304.69,15803.52105,18330.95,16813.80518,17378.57391,18686.00302,19324.64,21128.35,22163.35,20569.3,22153.7,25067.07,24221.48,26116.35,27195.28,26266.13,27854.71,28060.25,28174.2,27440.11,28860.64,29497.27,28426.54,32077.6,31029.11,32584.55,39584.63,35615.79,33861.19,35351.97,36656.25,37647
GHA_PSI_6,GHA_PSI_1,INR,Payment System Data,Bank of Ghana,Number,Sept-18,M,Total volume of transactions,125863371,137036396,139754529,149885392,142535312,137921555.3,156266620,158466250,163181432,157423905,171882993,174944065,169169269,187700732,190107401,200389766,190117341,192837293,204681483,181850028,212057731,225927903,253710616,266644130,271195065,278085855,281107848,301408898,301182634,294825039,335931196,323270736,345005475,338138615,365447348,376851071,375887690,391303316,397796455,401159657,371778285,365462547,413366550,402704626,381842366,378199522,398976552,447367669,447262238,479971185,492373198,488208974,497130001,492652623,534334807,542292572,563393283,532048872,563739366,600703975,586895470,614897287,617693427,657213817,617632465,608536415,631399938,629792098,668147748,644436315,678847815,724260414,704501819,728432678,708732870,745066791,725753756,698379786,764437418,777743075,795801650,735405111,778239311,830671667,830058242,893235783,891892549,982088515,949125046,897241410,965317228,988884888,960537046
GHA_PSI_4,GHA_PSI_1,INR,Payment System Data,Bank of Ghana,Number,Sept-18,M,Registered Agents (cumulative),353105,370510,387019,396599,348535,352907,355912,362528,368450,375205,383222,390210,357824,288746,298714,306346,314144,324305,332805,338081,348978,353460,363852,375914,389822,401885,415001,423892,442748,464933,476205,484739,496770,512048,526246,538754,551586,561731,570474,579672,586137,594145,602427,610796,620905,625273,642386,650767,661033,676817,689361,699592,711364,729152,744871,751497,772496,772533,749945,799571,802950,809068,814994,816805,821592,829986,834534,838056,843176,847658,854293,862561,866873,871782,877499,882722,885849,896041,902876,911041,919634,923366,931381,938354,944747,948641,954736,959833,966857,978247,987291,997348,1007592
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
